time,path_0,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8,path_9,average_path
0.694444,88.584811,68.289577,115.026589,104.009510,105.908174,101.145210,98.150063,105.921826,76.798251,73.748010,103.526359
0.698413,88.272422,67.718337,116.341271,103.221707,104.921679,101.206213,97.832384,103.605386,78.204080,72.446788,103.550212
0.702381,90.715749,68.478944,115.804042,104.393222,103.017320,102.242699,99.206989,101.674551,77.621104,72.305265,103.570706
0.706349,89.961102,68.572731,113.710638,102.533837,102.083656,104.752619,101.059559,103.410105,76.735353,72.876996,103.588467
0.710317,89.945642,67.362591,114.516579,102.936173,102.426145,105.133758,101.820470,101.836779,78.148902,72.076962,103.601823
0.714286,88.859102,66.618036,115.635255,101.629512,101.389584,105.598395,101.466350,103.287027,77.895855,70.777541,103.624726
0.718254,88.581491,66.493054,116.365779,100.579031,99.049194,105.167436,102.222725,105.521138,78.449038,72.021897,103.639475
0.722222,87.937951,66.592943,113.945865,97.399426,99.523594,106.772715,100.052748,102.612087,78.562020,72.742366,103.664042
0.726190,85.928149,66.467700,113.870525,97.926576,99.161620,108.983470,100.821633,103.336145,79.008293,72.343460,103.683960
0.730159,87.353588,66.593115,111.946809,99.032095,98.506984,107.695569,100.428332,103.813031,77.264894,73.029427,103.703769
0.734127,87.044767,67.235607,111.633906,101.069817,96.588968,107.576341,97.610261,102.865748,77.997832,72.138899,103.721166
0.738095,87.026163,66.682201,113.185542,99.318763,96.994543,105.054528,95.834838,104.236883,77.094605,72.040213,103.746619
0.742063,86.940337,66.712249,112.223468,97.530362,95.327464,105.074422,96.421821,105.544208,77.438355,70.370601,103.767773
0.746032,86.982407,65.633769,113.878976,97.557119,95.952488,106.148112,96.387279,104.795526,77.900821,71.251879,103.787510
0.750000,88.928796,65.142064,114.256539,96.211653,97.276708,105.001597,96.183627,102.653095,78.957835,70.700517,103.806953
0.753968,89.006544,65.526435,112.868581,94.617574,97.659615,106.195055,97.102389,102.931500,78.507321,69.444583,103.817069
0.757937,90.265994,65.540879,112.123449,94.694394,99.351094,106.191936,97.814248,103.711464,79.781496,70.821881,103.842398
0.761905,92.474861,65.570238,113.387770,95.229882,99.289824,106.424643,99.408187,103.238142,80.800521,69.496491,103.866031
0.765873,92.246596,66.946388,114.791498,93.375127,97.583187,108.420434,99.366176,103.618191,80.993810,70.669368,103.897491
0.769841,93.892162,67.321556,116.809019,93.603502,98.446176,106.722603,96.583343,102.449819,80.613058,70.879153,103.920501
0.773810,95.504441,67.192347,115.060029,93.714454,98.610843,108.258613,93.878373,101.480760,81.126443,72.015194,103.941235
0.777778,95.071513,67.142674,116.283004,93.296624,97.534485,109.187154,93.560076,103.137572,80.755241,72.910897,103.959274
0.781746,96.478326,66.140089,113.906817,93.451236,98.497218,108.498142,94.400669,102.766947,79.395397,74.411652,103.976672
0.785714,93.809369,66.905165,115.296037,90.899328,99.041087,107.234523,95.644724,103.791083,80.292188,73.858878,103.999019
0.789683,94.057489,66.561220,116.005774,91.598028,97.734169,107.649960,95.746493,104.476173,80.833202,73.299897,104.019423
0.793651,94.336677,67.658384,116.348465,91.537188,98.721835,109.230373,95.658842,104.648318,81.073366,73.435586,104.039051
0.797619,93.982939,68.158005,116.305373,93.389563,100.675959,109.991495,97.698550,102.941978,79.852687,72.274891,104.065619
0.801587,94.604107,66.704644,114.835808,93.401012,100.947118,108.392516,97.572031,101.390269,78.965175,71.861758,104.081112
0.805556,91.978077,65.901581,114.339836,96.421090,100.639521,108.778649,98.179604,101.378409,78.716091,70.659973,104.095624
0.809524,91.547464,66.021662,113.766633,98.599383,99.543989,109.330232,99.482593,104.481201,79.069284,71.463048,104.115010
0.813492,92.854602,66.832558,116.293957,97.076265,97.393289,110.772865,99.559862,104.604988,79.252233,70.822631,104.130294
0.817460,94.820489,65.853275,114.755403,98.264387,98.057637,109.574982,101.516648,102.755480,77.474539,69.055735,104.149618
0.821429,94.730525,65.641544,113.369522,97.005020,97.281529,110.207109,101.135173,100.830517,77.979565,69.669436,104.166261
0.825397,93.962827,66.107885,111.489538,96.208267,98.533070,108.877813,98.820942,101.358573,78.108133,66.997747,104.185792
0.829365,94.914984,67.077339,111.278285,94.707697,96.776842,108.572072,99.033975,98.726532,77.688712,66.615866,104.205142
0.833333,92.065345,66.497808,111.604830,95.618576,97.069595,109.313443,96.828353,96.957893,77.254036,67.578912,104.226889
0.837302,90.825433,67.349396,112.324343,94.639915,96.845243,110.443652,97.252796,97.644571,77.574156,68.034771,104.248657
0.841270,89.866365,68.130488,111.117882,94.868706,96.855397,109.744348,96.006746,97.365701,78.276018,67.709510,104.277439
0.845238,90.295313,68.514242,110.343735,94.898512,95.403145,110.185960,94.290140,95.251590,77.958560,67.123676,104.289546
0.849206,89.660106,69.334426,109.857669,95.228912,96.553051,110.963970,94.196806,94.922713,78.678586,66.889844,104.320192
0.853175,89.431074,68.701823,109.513413,94.221944,97.563695,110.887118,94.558903,95.970120,77.994756,65.714182,104.339088
0.857143,88.941985,69.051636,109.390233,93.778374,97.113632,111.045548,96.044185,94.983628,77.391273,66.859168,104.354803
0.861111,89.374779,69.099072,111.186786,93.902676,96.086527,108.696945,95.176484,96.516708,75.605822,66.229678,104.375275
0.865079,90.520239,70.525445,108.575010,94.699141,99.229741,108.879608,96.010737,99.431306,75.936013,66.417855,104.397027
0.869048,90.734762,71.217555,107.479804,95.801076,98.887432,107.685289,94.452324,102.776709,76.577098,67.113991,104.416819
0.873016,90.552733,71.384237,108.504452,98.569405,96.785927,108.169562,94.459937,104.303092,78.192366,66.848944,104.438404
0.876984,93.672079,72.095717,106.801657,98.176916,96.991167,108.538645,94.065807,104.726607,76.094796,67.745473,104.466802
0.880952,95.216335,73.417385,105.461080,98.020924,97.347494,109.615421,94.740243,104.557747,78.190748,67.607844,104.490269
0.884921,93.728381,73.917369,106.484781,95.810382,95.569498,109.061991,94.654445,104.667487,77.404607,67.383112,104.508951
0.888889,94.655919,75.129461,106.586977,95.527976,96.454787,109.564510,94.975446,105.058906,77.675303,67.638135,104.531828
0.892857,94.399488,74.449996,106.458188,95.244132,95.381447,109.653997,94.538688,104.692346,77.253084,67.241209,104.551935
0.896825,96.326975,74.864557,105.985110,94.322234,96.702547,111.842667,91.851471,103.880798,77.489399,69.428847,104.571291
0.900794,95.818274,74.908903,105.460247,94.694579,97.687575,111.478528,92.496244,103.899411,76.101035,69.783915,104.593547
0.904762,96.561093,76.315606,105.421322,93.165919,99.589706,110.243399,90.852225,104.134938,76.402372,69.877454,104.613966
